name,image,,,,,,,,,,,,
Usman Khan,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/67777.png,,,,,,,,,,,,
Iftikhar Ahmed,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/24437.png,,,,,,,,,,,,
Imad Wasim,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/11025.png,,,,,,,,,,,,
Shadab Khan,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/65739.png,,,,,,,,,,,,
Azam Khan,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/46260.png,,,,,,,,,,,,
Mohammad Rizwan,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/20286.png,,,,,,,,,,,,
Abbas Afridi,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/69965.png,,,,,,,,,,,,
Abrar Ahmed,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/66884.png,,,,,,,,,,,,
Haris Rauf,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/70326.png,,,,,,,,,,,,
Mohammad Amir,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/7768.png,,,,,,,,,,,,
Naseem Shah,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/69956.png,,,,,,,,,,,,
Shaheen Shah Afridi,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/66833.png,,,,,,,,,,,,
Kashyap Prajapati,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/87546.png,,,,,,,,,,,,
Khalid Kail,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/87543.png,,,,,,,,,,,,
Shoaib Khan,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/87397.png,,,,,,,,,,,,
Aqib Ilyas,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/66873.png,,,,,,,,,,,,
Ayaan Khan,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/65943.png,,,,,,,,,,,,
Mohammad Nadeem,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/26709.png,,,,,,,,,,,,
Zeeshan Maqsood,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/65594.png,,,,,,,,,,,,
Naseem Khushi,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/66878.png,,,,,,,,,,,,
Pratik Athavale,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/90720.png,,,,,,,,,,,,
Bilal Khan,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/28370.png,,,,,,,,,,,,
Fayyaz Butt,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/59325.png,,,,,,,,,,,,
Kaleemullah,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/66876.png,,,,,,,,,,,,
Mehran Khan,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/65603.png,,,,,,,,,,,,
Rafiullah,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/87398.png,,,,,,,,,,,,
Shakeel Ahmed,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/90742.png,,,,,,,,,,,,
Kane Williamson,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/4330.png,,,,,,,,,,,,
Mark Chapman,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/60536.png,,,,,,,,,,,,
Daryl Mitchell,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/57444.png,,,,,,,,,,,,
Glenn Phillips,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/65295.png,,,,,,,,,,,,
James Neesham,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/10172.png,,,,,,,,,,,,
